ticker,quarter,date,prev_quarter,is_shift_event,max_z_score,sentiment_overall,lm_uncertainty,fls_hedging_count,return_1d,return_3d,return_7d,sentiment_overall_delta,sentiment_overall_zscore,lm_uncertainty_delta,lm_uncertainty_zscore,fls_hedging_count_delta,fls_hedging_count_zscore
BAC,2022-Q1,2022-04-18,2021-Q4,False,1.294,0.1881460228409522,0.0085939192604896,1,0.0185325940747263,0.0015445278860822,-0.0669243563170788,-0.06594,-1.1835,0.002134,1.294,-1,-0.3067
BAC,2022-Q2,2022-07-18,2022-Q1,True,1.5366,0.2149610559856149,0.0060364132022198,1,0.0337879498075485,0.0430875181814351,0.0412276435837581,0.026815,0.3611,-0.002558,-1.5366,0,0.409
BAC,2022-Q3,2022-10-17,2022-Q2,False,0.7374,0.1758079102070855,0.0062922395711955,0,0.0374778302760373,0.0023797123099792,0.0618682362047928,-0.039153,-0.7374,0.000256,0.1607,-1,-0.3067
COST,2020-Q2,2020-03-05,2020-Q1,True,1.9023,0.0558518865631181,0.0080173347778981,2,-0.0139981256396106,-0.0201419798417526,-0.1031796098659976,-0.080651,-1.9023,-0.001173,-0.5518,0,0.1119
COST,2021-Q2,2021-03-04,2020-Q2,False,1.2335,0.1042020340651953,0.0093217614914818,0,-0.0053910983780734,-0.0008148430146584,0.0359516012549289,0.04835,1.2335,0.001304,0.8418,-2,-0.8951
COST,2021-Q3,2021-05-27,2021-Q2,False,0.9741,0.1418816674647579,0.0091442872268745,1,-0.0238194648618109,-0.0178322674983725,-0.0201292316243283,0.03768,0.9741,-0.000177,0.0081,1,0.6154
COST,2021-Q4,2021-09-23,2021-Q3,False,0.7599,0.147581833010735,0.0076015727391874,0,0.0330623318146858,-0.0119925244905045,-0.0279163779303003,0.0057,0.1967,-0.001543,-0.7599,-1,-0.3916
COST,2022-Q1,2021-12-09,2021-Q4,True,1.9634,0.1714994284534876,0.0108997886775664,0,0.0657793137825283,0.0400701985742045,0.0462114734493174,0.023918,0.6396,0.003298,1.9634,0,0.1119
COST,2022-Q2,2022-03-03,2022-Q1,False,0.7273,0.1649546782744129,0.0094149293880295,1,-0.0141637342886017,-0.0181785825446413,-0.0133196248861632,-0.006545,-0.1009,-0.001485,-0.7273,1,0.6154
COST,2022-Q3,2022-05-26,2022-Q2,True,1.6224,0.1186824271062657,0.0092134831460674,4,0.0124088729832487,-0.0172046845591374,0.0146025181944806,-0.046272,-1.0666,-0.000201,-0.0053,3,1.6224
