feature,return_window,spearman_rho,p_value,n,significant_raw,significant_bonferroni,bonferroni_alpha
lm_negative_qa,return_1d,-0.040122650139078155,0.6415676210711991,137,False,False,0.0006944444444444445
lm_uncertainty,return_1d,-0.038283831463400975,0.6569284468078362,137,False,False,0.0006944444444444445
lm_litigious,return_1d,0.03687455371142569,0.668799289202139,137,False,False,0.0006944444444444445
lm_negative_qa,return_3d,0.03473687158138406,0.6869622477293735,137,False,False,0.0006944444444444445
sentiment_std,return_1d,0.0328280471185618,0.7033335154927679,137,False,False,0.0006944444444444445
fls_sentiment_avg,return_7d,-0.031754625049004045,0.7126005430528778,137,False,False,0.0006944444444444445
lm_negative,return_1d,0.03138592790337334,0.7157933530382792,137,False,False,0.0006944444444444445
negative_ratio,return_7d,-0.030076889869054085,0.7271686588005551,137,False,False,0.0006944444444444445
lm_negative,return_7d,0.027871637388690796,0.7464658871807035,137,False,False,0.0006944444444444445
sentiment_qa,return_7d,0.02614856161442679,0.7625156200996053,136,False,False,0.0006944444444444445
lm_constraining,return_3d,0.025869471876341775,0.7641235758640585,137,False,False,0.0006944444444444445
lm_negative_qa,return_7d,-0.02518808221479642,0.770161241750868,137,False,False,0.0006944444444444445
sentiment_remarks,return_1d,-0.023419269326264303,0.7858979448786623,137,False,False,0.0006944444444444445
neutral_ratio,return_7d,0.022905947005557828,0.7904814053164114,137,False,False,0.0006944444444444445
positive_ratio,return_3d,-0.022817219556816693,0.7912743853279,137,False,False,0.0006944444444444445
sentiment_qa,return_3d,0.02265159105004532,0.7935095737173068,136,False,False,0.0006944444444444445
fls_count,return_7d,-0.022312688553146724,0.7957875472250875,137,False,False,0.0006944444444444445
sentiment_divergence,return_3d,-0.02019464720194647,0.81548340468479,136,False,False,0.0006944444444444445
neutral_ratio,return_1d,0.019132626273285318,0.8243838931016877,137,False,False,0.0006944444444444445
fls_ratio,return_7d,0.019074243470793586,0.8249111788041109,137,False,False,0.0006944444444444445
sentiment_remarks,return_7d,-0.0180334907685702,0.8343236578999439,137,False,False,0.0006944444444444445
sentiment_overall,return_7d,0.01795881792894879,0.8349999129667324,137,False,False,0.0006944444444444445
lm_weak_modal,return_1d,-0.01791214740418541,0.835422633689186,137,False,False,0.0006944444444444445
lm_positive,return_7d,-0.01731943173969048,0.8407952372883679,137,False,False,0.0006944444444444445
fls_sentiment_avg,return_3d,0.017268094162450762,0.8412609298884756,137,False,False,0.0006944444444444445
lm_uncertainty,return_7d,0.01633935071965949,0.8496950628832911,137,False,False,0.0006944444444444445
sentiment_divergence,return_7d,-0.01623968322122036,0.8511510973964961,136,False,False,0.0006944444444444445
negative_ratio,return_1d,-0.015326636097443343,0.8589111505743523,137,False,False,0.0006944444444444445
sentiment_overall,return_3d,0.013478447551664269,0.8757786057950067,137,False,False,0.0006944444444444445
positive_ratio,return_1d,-0.01214367054343159,0.8879956701405965,137,False,False,0.0006944444444444445
sentiment_remarks,return_3d,-0.011154255418447924,0.8970688521206833,137,False,False,0.0006944444444444445
fls_positive_count,return_7d,-0.010665675488773509,0.901554239712851,137,False,False,0.0006944444444444445
lm_uncertainty_qa,return_1d,0.010575540911382006,0.9023820604006959,137,False,False,0.0006944444444444445
sentiment_divergence,return_1d,-0.010562473164448262,0.9028634011680436,136,False,False,0.0006944444444444445
sentiment_qa,return_1d,-0.00984685845140976,0.9094154216052619,136,False,False,0.0006944444444444445
positive_ratio,return_7d,0.0021235088767338098,0.9803522249953167,137,False,False,0.0006944444444444445
fls_sentiment_avg,return_1d,0.0014001157429014133,0.987044691133229,137,False,False,0.0006944444444444445
sentiment_overall,return_1d,-0.0011527619616554967,0.9893333130651832,137,False,False,0.0006944444444444445
