transcript_id,ticker,quarter,date,sector,return_1d,return_3d,return_7d,sentiment_overall,sentiment_divergence,sentiment_std,lm_uncertainty,lm_litigious,lm_constraining,fls_ratio,fls_hedging_count,modal_confidence,uncertainty_divergence,role_sentiment_variance,avg_sentence_length,vocab_diversity,sentiment_overall_qoq,lm_uncertainty_qoq,fls_ratio_qoq,lm_constraining_qoq,modal_confidence_qoq,pca_1,pca_2,pca_3,tsne_1,tsne_2,cluster_km,cluster_db,cluster_hc,archetype
AAPL_2019-Q3,AAPL,2019-Q3,2019-07-30,tech,0.0204040812283428,-0.0227992822181091,-0.0256252011836045,0.3195604617117431,0.3006385872154937,0.4437849042358497,0.0033933698773166,0.0003915426781519,0.0007830853563038,0.0401002506265664,2.0,1.9999991486670292,-0.0003785064128746002,0.18750428864243937,19.75392670157068,0.26133050622846543,-0.004069053800501987,0.0002558263689756996,-0.0010312767035443038,-1.2801328871768605e-05,0.017045425359815014,2.351675642692317,-1.6567017950272251,0.2570342452208229,-2.158267,6.8092933,3,0,2,Linguistic Strategists 2
AAPL_2020-Q1,AAPL,2020-Q1,2020-01-28,tech,0.0209319069689038,-0.0257485220243551,0.0236709227862146,0.3355745631520466,0.2712737738724687,0.4387164817813576,0.0044144019864808,0.0004138501862325,0.0009656504345426,0.0518518518518518,0.0,2.444443460012733,-0.0033399968178713995,0.3343469612552513,19.206989247311828,0.2590622813156053,0.016014101440303463,0.0010210321091642,0.011751601225285402,0.00018256507823879997,0.4444443113457037,3.9648144927306714,-1.3664682416091176,0.7448434964861123,-2.0274076,8.001165,3,0,2,Linguistic Strategists 2
AAPL_2020-Q2,AAPL,2020-Q2,2020-04-30,tech,-0.0160994982999027,0.0127977480778122,0.075094344164848,0.2365612812272173,0.1995274204377003,0.4866922141374947,0.0070514494646121,0.0001305823974928,0.000652911987464,0.0462287104622871,3.0,1.4705879040657999,-0.003053442018620899,0.09717028241069432,19.590078328981722,0.25976276156204187,-0.09901328192482928,0.0026370474781313,-0.005623141389564705,-0.00031273844707859996,-0.9738555559469331,-0.6943802214014172,0.14306098719745064,1.9722289900474381,-1.1228604,-0.94342524,4,0,3,Measured Reporters
AAPL_2020-Q3,AAPL,2020-Q3,2020-07-30,tech,0.1046888382643185,0.1400873348864446,0.1740385980749659,0.2706564976142184,0.2821244609829629,0.4495976594104791,0.0085881587508132,0.0007807417046193,0.0015614834092387,0.0366132723112128,0.0,0.999999817023843,-0.0044696065934358995,0.10382449167147448,18.576732673267326,0.27048634243837444,0.03409521638700108,0.0015367092862011,-0.009615438151074296,0.0009085714217747,-0.47058808704195687,-0.6483333788517901,-0.9867719507245154,1.7614974695282832,0.16331592,-3.2737086,4,0,3,Measured Reporters
AAPL_2020-Q4,AAPL,2020-Q4,2020-10-29,tech,-0.0560181790936744,-0.042317282479808,0.0104115338872639,0.3003746185285983,0.2236229419838341,0.4437131255902262,0.0057599623839191,0.0005877512636652,0.0024685553073939,0.0219780219780219,1.0,1.4799994963858123,-0.0012282133513415007,0.10463466614301589,19.47775175644028,0.2496092340988337,0.02971812091437992,-0.0028281963668941,-0.014635250333190901,0.0009070718981552001,0.4799996793619693,1.1590822486107948,-1.6087922787487956,-0.9669691713155156,3.2413611,-1.5469469,3,0,4,Linguistic Strategists 2
AAPL_2021-Q1,AAPL,2021-Q1,2021-01-27,tech,-0.0349847240167745,-0.0557509606645778,-0.0358694863463755,0.2892799562913306,0.282430450329963,0.4849471127184805,0.00844327176781,0.000263852242744,0.0015831134564643,0.0372093023255813,2.0,0.8333331578704037,-0.0013344385707870993,0.0967923947149732,19.835106382978722,0.25006704210244035,-0.011094662237267738,0.0026833093838909,0.015231280347559398,-0.0008854418509296,-0.6466663385154086,-0.23247781076119522,-0.2245191129743104,2.192770716868323,-0.09396861,-1.3376778,4,0,3,Measured Reporters
AAPL_2021-Q2,AAPL,2021-Q2,2021-04-28,tech,-0.0007487114809111,-0.0077857080782849,-0.023572625072288,0.2852109024908286,0.311003001041999,0.4488895717524174,0.0071951073270176,0.0003597553663508,0.0025182875644561,0.0283400809716599,0.0,1.2121209058219482,0.0006925179385942996,0.11933330657038455,18.161862527716185,0.25076303259675253,-0.004069053800501987,-0.0012481644407924004,-0.0088692213539214,0.0009351741079918,0.37878774795154446,0.7075031297352784,-1.0770100590491078,0.05423345626971606,3.1125846,-1.8979378,3,0,4,Linguistic Strategists 2
AAPL_2021-Q3,AAPL,2021-Q3,2021-07-27,tech,-0.0121964890206237,-0.0062005408064187,0.0019757037772054,0.2777757555719831,0.2486937107275188,0.4531608070020184,0.0088451476267596,0.0006228977201943,0.0026161704248162,0.0351239669421487,0.0,0.6666665477481694,-0.0039425575340663,0.1431727958058648,18.750599520383695,0.25617086583962145,-0.007435146918845503,0.0016500402997420005,0.0067838859704888,9.78828603601001e-05,-0.5454543580737788,-0.44641940786044537,-0.41074064565027424,2.288634429225366,0.84700483,-2.8521068,4,0,3,Measured Reporters
AAPL_2021-Q4,AAPL,2021-Q4,2021-10-28,tech,-0.0181558350423112,-0.0167134562924028,-0.0125218373194928,0.2411446899373447,0.3613456688963703,0.4279374211527937,0.0068501382045427,0.0008412450426631,0.0034851580338901,0.0380761523046092,5.0,1.114285449372292,-0.0023834664948621997,0.14859952379752875,18.050884955752213,0.2490501286922417,-0.03663106563463839,-0.0019950094222169,0.002952185362460502,0.0008689876090738997,0.44761890162412266,1.1893552813151373,0.1554763463162917,0.27621107528609007,3.6170063,-2.6627305,2,0,4,Confident Optimists
AAPL_2022-Q1,AAPL,2022-Q1,2022-01-27,tech,0.069777536157438,0.0966584736217218,0.0795043979874823,0.2729887280112771,0.2324242408276677,0.4448698517946992,0.0078473819510215,0.0005411987552428,0.0036530915978893,0.0286975717439293,1.0,0.8717947065785937,-0.003209102066183401,0.12702156656371305,17.8407960199005,0.2621305075292805,0.03184403807393241,0.0009972437464787999,-0.0093785805606799,0.0001679335639992001,-0.2424907427936983,-0.343553856758385,-0.7683577599151477,1.4611219463638367,1.5598164,-2.9828646,4,0,3,Measured Reporters
