ticker,quarter,date,day0_price,return_1d,return_3d,return_7d
AAPL,2020-Q4,2020-10-29,111.96044158935548,-0.05601817909367442,-0.04231728247980809,0.01041153388726395
PFE,2022-Q3,2022-11-01,39.35801696777344,-0.019579125421081995,-0.008025030947515418,-0.0046638380656959634
BAC,2022-Q1,2022-04-18,35.06642532348633,0.0185325940747263,0.0015445278860822024,-0.0669243563170788
AAPL,2022-Q3,2022-07-28,154.39559936523438,0.03279310014261049,0.01690492732596924,0.049246971132987497
PFE,2020-Q4,2021-02-02,27.25851249694824,-0.0042868005601444225,-0.0020005862303324124,-0.016004549897486533
AMZN,2022-Q1,2022-04-28,144.59649658203125,-0.14049437774923407,-0.1406880192176758,-0.24763736303163808
META,2021-Q1,2021-04-28,304.7088317871094,0.07297275561336401,0.050407027793226415,0.039010089337695605
JPM,2021-Q2,2021-07-13,137.9652862548828,-0.0034051145067632797,-0.02402824338318056,-0.030324077581488335
MSFT,2021-Q3,2021-04-27,251.37582397460935,-0.028285620042920425,-0.037370692998965664,-0.04672285079560314
COST,2022-Q1,2021-12-09,499.2116394042969,0.06577931378252833,0.04007019857420455,0.0462114734493174
NVDA,2023-Q3,2022-11-16,15.88916301727295,-0.01464480362667427,-0.037272023669654784,-0.00521685529585718
JNJ,2019-Q2,2019-07-16,109.7330551147461,-0.004830308926601827,-0.016528480877784923,-0.010415262368984457
WMT,2023-Q3,2022-11-15,47.10678482055664,0.00718954719424888,0.018923113015143787,0.0381852074066378
XOM,2022-Q1,2022-04-29,74.28490447998047,0.01360701208862865,0.07565994578639866,-0.002697944708206737
NVDA,2021-Q4,2021-02-24,14.457558631896973,-0.08217819319968149,-0.04533066259433059,-0.14052699337572544
WMT,2022-Q2,2021-08-17,47.391090393066406,-0.010617316346958013,0.004976701018812247,-0.02222945773623573
TGT,2020-Q4,2021-03-02,150.01504516601562,0.000691560681271186,-0.005072428241552107,0.033604315810609
NVDA,2022-Q2,2021-08-18,18.99648094177246,0.03981133028375479,0.15325644223423207,0.18886580792634103
UNH,2021-Q1,2021-04-15,357.98095703125,0.0025641244228631443,0.016717617251703277,0.014999846551500726
JNJ,2022-Q1,2022-04-19,163.0198516845703,0.004424135566161775,-0.008411623385187241,0.002075504211146938
CVX,2022-Q1,2022-04-29,133.41050720214844,0.019659298304246127,0.06970075342057608,0.02623344268700066
TGT,2021-Q4,2022-03-01,192.49163818359375,0.024928316247503544,0.021282535925902322,-0.02119113775424625
WMT,2023-Q2,2022-08-16,44.5284423828125,0.0010763425325609893,-0.016861585982668865,-0.025113031386299025
WMT,2020-Q4,2021-02-18,42.78428268432617,0.004939618709333027,-0.015908584108820154,-0.04569216406050014
NVDA,2023-Q2,2022-08-24,17.194337844848633,0.0401228648270591,-0.08251073098249154,-0.20758354192584738
TGT,2022-Q2,2022-08-17,155.41644287109375,-0.01306029863219527,-0.07630894580973577,-0.08395118018271694
AAPL,2021-Q4,2021-10-28,149.07794189453125,-0.018155835042311278,-0.016713456292402885,-0.012521837319492829
MSFT,2021-Q2,2021-01-26,222.4221954345703,0.0024534425270643255,-0.001592477179787607,0.04166489156878931
JPM,2021-Q3,2021-10-13,143.5673828125,0.01534154292477536,0.03447176015046288,0.06695655741328999
MSFT,2022-Q4,2022-07-26,244.24949645996097,0.06685187574166133,0.11448963227960518,0.12604223054281719
AAPL,2022-Q2,2022-04-28,160.3319549560547,-0.036604849005687834,-0.0254216149108519,-0.06940004368302115
META,2020-Q1,2020-04-29,192.67794799804688,0.054173792077540944,0.05700613795048886,0.09351683038283116
PFE,2021-Q4,2022-02-08,41.71650695800781,-0.0044488105597320785,-0.01779496790886975,-0.05415860593511253
COST,2023-Q1,2022-12-08,461.4239501953125,0.0033234920244392505,0.01408345535762708,-0.04733907674236802
PFE,2022-Q2,2022-07-28,41.579647064208984,-0.004140513795825724,-0.020307517852301536,-0.022673604373636164
XOM,2021-Q1,2021-04-30,47.26229095458984,0.027602912330948085,0.06516415559400755,0.058525322114825216
TGT,2021-Q3,2021-11-17,221.68153381347656,-0.006895110523928043,-0.03636733201767799,-0.01828213022179537
WMT,2022-Q4,2022-02-17,43.849857330322266,-0.006408364279458758,-0.02757761063810741,-0.02080900205367962
NVDA,2022-Q4,2022-02-16,26.458311080932617,-0.0755911193772967,-0.11772466032645426,-0.08019319805864787
AAPL,2020-Q2,2020-04-30,70.98970031738281,-0.01609949829990278,0.0127977480778122,0.07509434416484806
BAC,2021-Q1,2021-04-15,34.3093376159668,0.0105835154086836,-0.017036493381633752,0.017294777054936816
MSFT,2023-Q2,2023-01-24,235.84988403320312,-0.00590826296344268,0.025285026038617146,0.09320772963987428
PFE,2021-Q3,2021-11-02,36.07997512817383,-0.01386127454748281,0.07891501814995724,0.1137618999235474
MSFT,2022-Q3,2022-04-26,261.40423583984375,0.04810888644866371,0.02701532415236874,0.026385836337370912
JPM,2021-Q4,2022-01-14,141.6380615234375,-0.041928093534511365,-0.06479213547542487,-0.06314536166970755
AMZN,2021-Q1,2021-04-29,173.5655059814453,-0.0011206361718006375,-0.04593078605677872,-0.08089741269046836
JPM,2022-Q2,2022-07-14,98.46482849121094,0.04583308732338243,0.06074051552218203,0.06685155767302339
META,2022-Q1,2022-04-27,173.58775329589844,0.1759362292327162,0.20680212024229064,0.16473297388848887
AAPL,2021-Q3,2021-07-27,143.1961669921875,-0.012196489020623785,-0.006200540806418751,0.0019757037772054867
AAPL,2021-Q2,2021-04-28,130.10633850097656,-0.0007487114809111997,-0.007785708078284916,-0.02357262507228807
MSFT,2021-Q4,2021-07-27,275.58709716796875,-0.001116778610295536,-0.005688428401811739,0.010399717045839859
JPM,2022-Q3,2022-10-14,102.28016662597656,0.042000240786521564,0.0478459527202089,0.10351642308787665
MSFT,2022-Q2,2022-01-25,278.5023498535156,0.028492986769070448,0.06852908158205735,0.044230171822925025
AAPL,2022-Q4,2022-10-27,142.27857971191406,0.07555267278675908,0.04040069628304071,-0.03901625943803811
JPM,2020-Q4,2021-01-15,121.46844482421876,-0.004327838407267147,-0.027481183475124214,-0.07775537286591538
COST,2020-Q1,2019-12-12,271.4751281738281,-0.018396422450090197,-0.006020438870613511,-0.013553856431935575
PFE,2021-Q2,2021-07-28,34.182701110839844,-0.0062703176840434825,0.020901170544114972,0.046678920050575896
PFE,2022-Q4,2023-01-31,36.84731674194336,-0.004302587878235106,-0.0022646561558323616,-0.018568834625024188
META,2019-Q2,2019-07-24,203.0664520263672,-0.01930025954746722,-0.04260730801088024,-0.07641956294042987
AAPL,2020-Q3,2020-07-30,93.21964263916016,0.10468883826431852,0.1400873348864446,0.1740385980749659
CVX,2021-Q1,2021-04-30,83.69701385498047,0.023867183636598153,0.057145656901088256,0.03521879687356858
JNJ,2021-Q1,2021-04-20,144.5682830810547,0.0006609370677509046,-0.005766364551650458,-0.013695181777219878
UNH,2022-Q1,2022-04-14,497.5064392089844,-0.0013836092117359457,0.020923255510529166,-0.03934017617523819
NVDA,2021-Q3,2021-11-17,29.19927406311035,0.08249866792554807,0.0921019497964214,0.140631200466084
TGT,2021-Q2,2021-08-18,215.51239013671875,-0.00876498001248954,0.01999338705817548,0.006462274370531485
NVDA,2020-Q2,2019-08-15,3.696121454238891,0.07252808341176613,0.12838631468141248,0.11211890968109545
UNH,2021-Q4,2022-01-19,428.9813232421875,0.0010378562495464848,-0.0005405901460212309,0.007653629615717877
JNJ,2022-Q4,2023-01-24,152.82476806640625,0.00712953211434569,-0.0004752622029561309,-0.01645785083236783
CVX,2021-Q2,2021-07-30,83.68582153320312,-0.0017678214379095454,-0.01483152135662495,0.0026519600746403365
JNJ,2021-Q2,2021-07-21,148.10040283203125,0.00289091963369115,0.014042168955238398,0.015989230476942496
UNH,2022-Q2,2022-07-15,494.5475769042969,-0.019594164514340495,-0.019405461226194954,0.0034735474459491275
TGT,2021-Q1,2021-05-19,189.99090576171875,0.012693189531905557,0.02922206006082605,0.03611655188830931
XOM,2021-Q3,2021-10-29,54.824920654296875,0.017992942399762204,-0.008375855759773293,0.02931619095542841
AAPL,2021-Q1,2021-01-27,138.15931701660156,-0.03498472401677459,-0.05575096066457789,-0.03586948634637556
AMZN,2021-Q3,2021-10-28,172.32850646972656,-0.021511245053778112,-0.038827061514978105,0.01230497902329976
COST,2021-Q3,2021-05-27,367.6515502929687,-0.02381946486181096,-0.0178322674983725,-0.020129231624328343
MSFT,2022-Q1,2021-10-26,298.8271789550781,0.04211410391515741,0.06936224981921409,0.084905293307199
META,2020-Q4,2021-01-27,270.0210266113281,-0.02623663137489406,-0.037223347203434336,-0.014845193556229175
PFE,2021-Q1,2021-05-04,31.122535705566406,0.0005006995084687469,0.0005008220787278579,0.013645134095540575
COST,2020-Q2,2020-03-05,288.900634765625,-0.013998125639610694,-0.020141979841752602,-0.1031796098659976
BAC,2021-Q3,2021-10-14,40.28881072998047,0.028843806780684884,0.031284565500825166,0.05413782361735629
AMZN,2020-Q2,2020-07-30,152.593994140625,0.036960821567137314,0.028490660373585056,0.03154783808647654
AAPL,2020-Q1,2020-01-28,76.58040618896484,0.020931906968903857,-0.025748522024355153,0.0236709227862146
BAC,2021-Q2,2021-07-14,34.56047821044922,-0.0007717590919556698,-0.04966543492797099,-0.02985069684592037
MSFT,2023-Q1,2022-10-25,243.56304931640625,-0.07715647041989587,-0.05900427686800047,-0.14525651560178504
COST,2021-Q2,2021-03-04,302.0511474609375,-0.0053910983780734185,-0.0008148430146584852,0.035951601254928967
META,2021-Q4,2022-02-02,320.4849548339844,-0.26390083806822384,-0.3036841064324076,-0.3202785923851401
AMZN,2022-Q4,2023-02-02,112.91000366210938,-0.08431497620839848,-0.09565142769880279,-0.11841291571110604
JPM,2022-Q1,2022-04-13,115.043212890625,-0.009269283047937574,0.030007870577674404,-0.004163355205775683
META,2022-Q2,2022-07-27,168.25958251953125,-0.05224656436076343,-0.056905467096397405,-0.014565351054587533
AMZN,2021-Q2,2021-07-29,179.99600219726562,-0.07564890713277764,-0.06491258469451819,-0.0716821272716391
COST,2022-Q4,2022-09-22,466.0937805175781,-0.0426340380231443,-0.018207405885473028,-0.01937731655309013
XOM,2021-Q2,2021-07-30,48.22724914550781,0.00017370004185886253,-0.012680103055696966,0.01059586075015005
UNH,2020-Q4,2021-01-20,320.8877258300781,0.011857421823175968,-0.008636167766175245,-0.049196141570839486
XOM,2022-Q4,2023-01-31,103.9463119506836,-0.010947376888800877,-0.035255585711306686,-0.01430905362718849
UNH,2022-Q3,2022-10-14,480.5351257324219,0.017052268249273236,0.014012037844111348,0.052793583203539905
JNJ,2021-Q3,2021-10-19,144.04049682617188,-0.0005490560325293718,-0.0009151640102298366,-0.006224365291014528
CVX,2021-Q3,2021-10-29,95.37732696533205,0.00034940374586703076,-0.012926818713290605,0.013189111497790838
COST,2022-Q3,2022-05-26,444.1067504882813,0.012408872983248786,-0.01720468455913743,0.014602518194480676
BAC,2020-Q4,2021-01-19,28.878684997558594,-0.013121742730279905,-0.037229336357754585,-0.0747636774616418
META,2021-Q3,2021-10-25,326.13067626953125,-0.03918571301577201,-0.03580878947097547,0.00891411246742431
AMZN,2022-Q3,2022-10-27,110.95999908447266,-0.0680424971580574,-0.1277036615524649,-0.18412040801859272
AAPL,2022-Q1,2022-01-27,155.8028106689453,0.06977753615743809,0.09665847362172185,0.07950439798748234
AAPL,2019-Q3,2019-07-30,49.98665618896485,0.020404081228342807,-0.02279928221810919,-0.02562520118360459
BAC,2022-Q3,2022-10-17,30.721643447875977,0.037477830276037315,0.002379712309979227,0.061868236204792836
AMZN,2019-Q1,2019-04-25,95.1125030517578,0.025433025529202628,0.012758505014925649,0.02539091295724442
AMZN,2020-Q4,2021-02-02,169.0,-0.019961565909301034,-0.008239655805057323,-0.0348727435049926
UNH,2021-Q2,2021-07-15,386.9660949707031,-0.0008331949932591252,-0.016855223202016073,-0.015498294375322602
TGT,2019-Q3,2019-11-20,106.7755355834961,0.009649536918974772,-0.009807518718985666,-0.019378243369569722
XOM,2020-Q4,2021-02-02,37.04692459106445,0.03922853725157746,0.09467495103035753,0.11081302632133085
JNJ,2022-Q2,2022-07-19,153.86021423339844,-0.005707608250127958,0.002504615762388476,0.01461910154558247
CVX,2022-Q2,2022-07-29,140.61227416992188,-0.01996578249377168,-0.05141025131831591,-0.05110477662583615
CVX,2021-Q4,2022-01-28,110.0638656616211,0.005512574229925072,0.03675061039597773,0.044636490418777645
JNJ,2021-Q4,2022-01-25,148.31063842773438,0.004474321495570948,0.024816748195363513,0.030603251998058374
UNH,2022-Q4,2023-01-13,459.885009765625,-0.009171498055146169,-0.010642215885955696,0.005984599899452617
XOM,2022-Q3,2022-10-28,98.39636993408205,0.0009937963135482138,-0.009846391516048554,0.029810245150639042
WMT,2023-Q1,2022-05-17,41.78409576416016,-0.06791038439943595,-0.09250117542874635,-0.040731276447146955
NVDA,2023-Q1,2022-05-25,16.944150924682617,0.05160523052833785,0.0999703386515512,0.10668618574758136
TGT,2022-Q1,2022-05-18,142.3542938232422,-0.05061574082857603,-0.047707493709891954,0.034218209215644724
GS,2020-Q3,2020-10-14,185.5787353515625,-0.012450822589015965,-0.0262273221506044,-0.029304425358540408
NVDA,2019-Q3,2019-11-14,5.217293739318848,-0.026693426049800677,-0.00857984374660123,0.05443552404076312
XOM,2021-Q4,2022-02-01,69.66117095947266,-0.002598068544894333,0.007175409273556072,-0.021311784763130778
CVX,2020-Q4,2021-01-29,68.22150421142578,0.014201969172423534,0.04413141728143894,0.06760554685683592
JNJ,2020-Q4,2021-01-26,147.12442016601562,-0.015250966972849672,-0.04311349596855241,-0.04980083895927233
XOM,2022-Q2,2022-07-29,85.3277587890625,-0.02527592792612356,-0.06097184569495211,-0.06540815158689851
WMT,2022-Q1,2021-05-18,44.46324920654297,7.052298714782906e-05,-0.0011272524673179146,-0.0015502188014283737
