Price,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST
Date,,,,,
2019-01-02,185.1300048828125,185.43742015064902,180.6907286498231,181.278408745829,2143100
2019-01-03,181.20608520507812,186.19689636996387,180.86251072247973,184.17163626636895,2877700
2019-01-04,186.46812438964844,187.99609535450384,182.13732587630386,183.61106494316056,2761600
2019-01-07,187.1553497314453,189.07210542026746,184.02704651112182,185.81723805034088,2226600
2019-01-08,188.5567169189453,189.03590573857082,184.6056510002775,188.64712183444615,2366500
2019-01-09,189.7772216796875,190.9706820411519,187.9870449334446,189.09912296411554,1862900
2019-01-10,190.44631958007812,190.68138887879357,186.25114862882063,188.19502645777774,2340700
2019-01-11,190.32876586914062,190.9978283171268,189.24381055031725,189.9038228515752,1861100
2019-01-14,188.9635467529297,190.45535870891234,188.20407934973693,189.38848980384964,1523100
2019-01-15,190.7989044189453,191.07918302812112,189.03585042900522,189.90380910284293,1681900
2019-01-16,190.03041076660156,191.1877121364789,189.41560777868673,191.1877121364789,1455000
2019-01-17,191.18772888183594,191.35950234635865,189.55123862923378,189.7501487417941,1517100
2019-01-18,193.1134796142578,193.62884128696163,191.4679671527591,192.1822251001007,2115400
2019-01-22,192.03756713867188,194.8946266154086,190.59096469943083,192.58005167585904,3310800
2019-01-23,191.75735473632812,194.25276791394685,189.8677221460006,192.58011817665778,2220200
2019-01-24,190.14797973632812,192.02857576416423,188.8731504325228,192.02857576416423,1994400
2019-01-25,189.02682495117188,191.96525303540022,188.7284598286433,191.70304711138033,2252300
2019-01-28,190.56385803222656,190.58193073463372,187.43555602128387,188.6742121380199,1999400
2019-01-29,190.14797973632812,190.35592621270692,188.5747990427419,190.157029884839,1636500
2019-01-30,191.0882568359375,191.8296377201449,189.25287042991616,190.301652807674,1589800
2019-01-31,194.05381774902344,194.27985070496428,189.614527183316,190.89839271754508,4341100
2019-02-01,190.11178588867188,194.388325179759,189.2980590405786,193.48419343473688,3453700
2019-02-04,190.93453979492188,190.94358994199712,187.96898870498296,190.50056040994338,1630300
2019-02-05,191.32334899902344,192.14611232653144,189.54220807945458,191.21485758738115,2074500
2019-02-06,191.3142852783203,191.9110017529476,190.30164832934292,191.9110017529476,1618800
2019-02-07,189.519287109375,190.47119252399747,186.99901263376626,190.44399641214144,2526600
2019-02-08,188.34075927734375,189.01162905569237,186.52761117359074,188.41328686148054,2013700
2019-02-11,189.22010803222656,189.40142004799495,187.4432170779683,189.1566412184366,2376600
2019-02-12,192.10301208496094,192.8736054661751,189.70965744002558,190.43491935765883,2091200
2019-02-13,192.9189453125,193.56260509036778,191.55908434530647,192.40219150502034,1703000
2019-02-14,193.86175537109375,194.50542891314743,191.41400865931513,192.19366275021554,1411100
2019-02-15,196.24607849121094,196.9532051175414,194.04309643747249,195.04939414928452,2635500
2019-02-19,197.74191284179688,199.08365229721068,196.28232817512597,196.4273833324498,1938100
2019-02-20,196.8262481689453,198.60313899291424,194.96776901884604,197.84160644937378,1785600
2019-02-21,195.1219024658203,196.47270259722364,194.30599146467918,196.3639181525969,1615300
2019-02-22,196.08287048339844,196.35484543077675,194.23346574102274,195.06751210195455,1542500
2019-02-25,196.77186584472656,198.62127049609322,196.3185788991424,197.06196229662612,1794000
2019-02-26,197.27957153320312,198.4581205168128,195.93784586719073,196.62683713714918,1884100
2019-02-27,197.67845153808594,198.4127742204591,196.2279276923267,196.28231991572906,1482700
2019-02-28,198.30398559570312,199.16522805894365,197.19796429908843,198.07734211415453,2055600
2019-03-01,198.9385986328125,199.96303166842085,195.61147374859766,199.22869511641605,2178200
2019-03-04,198.0047607421875,200.4253108074765,195.70205584869538,199.8360296156257,2444700
2019-03-05,199.2830810546875,200.90584224676417,198.44902089463952,198.45809548688734,2160200
2019-03-06,198.74818420410156,201.17780935133922,197.8416103406823,199.89953688394542,1985300
2019-03-07,196.5361328125,198.89323028332012,196.01939292716082,197.75095224739766,3279100
2019-03-08,206.53567504882812,207.33345068393726,202.86404794254767,204.4142815837909,6782700
2019-03-11,208.23094177246094,208.43038911841057,205.84664821247492,206.27273901216563,3748400
2019-03-12,211.1954345703125,211.59431541492174,208.4213071744816,208.80208033656638,2647100
2019-03-13,214.29592895507812,215.26595577164196,211.18637348727773,212.3649222471823,2421200
2019-03-14,211.9932403564453,214.2959458405533,211.4855611788146,214.06930236245245,2300300
2019-03-15,211.77565002441406,213.63411529006004,211.39487684653147,212.2923899088798,5075400
2019-03-18,214.48634338378906,214.56793172535413,211.67597223073733,211.7575605723024,1735400
2019-03-19,214.90335083007812,215.80992475145942,214.21434579656741,215.32944167978496,1852300
2019-03-20,214.83987426757812,216.20880968001129,213.75198837792593,214.88520572823438,1499500
2019-03-21,217.16075134277344,217.44180093046515,214.45010366804956,214.56794889310964,1617000
2019-03-22,215.36569213867188,217.88596645842665,214.76735004839978,217.35109118070758,1873600
2019-03-25,214.83084106445312,215.83713875393065,213.76107655527218,214.79457035798794,1357100
2019-03-26,216.73463439941406,217.8043849885484,215.18438690455397,215.76459366191267,1193000
2019-03-27,217.0428466796875,217.76810851941838,215.90962937798898,216.40824775738014,1351200
2019-03-28,218.6837615966797,219.34555668348796,217.19698092455604,217.5596049584515,1396700
2019-03-29,219.51780700683594,219.78978194770997,218.27580517114944,219.0826554013696,1968000
2019-04-01,221.37632751464844,221.57577491954243,219.91674268786383,220.36096896844094,1610200
2019-04-02,218.0310516357422,221.376311980184,217.85880035876437,221.2040607032062,1574300
2019-04-03,219.82606506347656,220.79610590732582,218.50247473746572,219.1098776724463,1663600
2019-04-04,221.566650390625,221.89301754024106,218.71094820639922,219.54499451470258,1319700
2019-04-05,222.8993377685547,224.00535911956152,221.21310962957878,222.07436596839466,1616200
2019-04-08,223.48858642578125,223.7696221022572,222.29190231962946,223.00810339828,1244200
2019-04-09,222.0289764404297,222.72702825546216,221.2130517801693,222.2102884205262,1450200
2019-04-10,222.6636199951172,223.62458613247293,221.84770900425065,222.36444894294075,1556600
2019-04-11,218.70191955566406,221.36723553007297,218.41180923198272,220.85955629685225,2719800
2019-04-12,219.3455810546875,220.04364692237863,218.39367556842177,218.94668627314974,2187600
2019-04-15,223.3163604736328,223.69711986874208,219.35463677938637,219.72632158182745,1859700
2019-04-16,222.41880798339844,223.7605471384283,221.43064588264576,223.6064174225145,1360500
2019-04-17,222.6182861328125,223.43421094810333,221.49414334269002,223.28915580317786,1363000
2019-04-18,222.84490966796875,224.1503781890379,221.8386121690795,223.73334814300017,1365000
2019-04-22,220.67819213867188,222.8086460961924,219.89853811945355,222.2828316336295,1300000
2019-04-23,222.6364288330078,223.49767130544822,219.5812790957281,221.79330787936624,1524600
2019-04-24,224.79405212402344,225.4649079024285,222.6545373399789,222.72705107287234,1156400
2019-04-25,222.65457153320312,224.05975011361284,221.14965543000594,223.20758220566856,1278200
2019-04-26,221.0408935546875,222.91749466226298,219.4453143586726,222.67271579319757,1842900
2019-04-29,221.4578399658203,222.7905045176085,220.74165277239996,222.11057418846016,1429700
2019-04-30,222.59107971191406,222.82678393658517,220.31558429332858,221.90208855526197,1427600
2019-05-01,219.01919555664062,222.52764612243627,218.98293868553978,222.4188478426926,1350400
2019-05-02,220.01641845703125,220.197730467464,217.95849186390925,219.17329755035038,1237600
2019-05-03,221.76612854003906,222.0018466344558,220.0436434648873,220.54226193397488,905900
2019-05-06,221.4125518798828,221.95650178303518,219.44528806886078,220.1614892357854,1194900
2019-05-07,217.7408905029297,220.06173107064635,215.9640135863626,219.13702191345087,1775200
2019-05-08,218.7925262451172,220.3427735911862,215.93682419520252,217.17882592380644,1611900
2019-05-09,221.31961059570312,221.85593030285455,218.3107496803223,218.76526072785597,1919300
2019-05-10,224.54664611816406,225.93744884067175,218.1925765582498,220.83783423461801,2036500
2019-05-13,219.91067504882812,222.6468272020259,218.7743971640248,221.91052135196605,1962800
2019-05-14,220.64694213867188,222.79223496314825,219.8106434268356,220.24697017418993,1635100
2019-05-15,222.4104461669922,223.07402844792983,219.28340777432254,220.08335169912002,1194800
