Price,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH
Date,,,,,
2019-01-02,215.45315551757812,217.98383908725648,213.66574624063796,216.7892805082244,4063600
2019-01-03,209.5777130126953,215.44428690711797,208.9406169379105,215.44428690711797,4623200
2019-01-04,212.02874755859375,215.4265977632742,211.30317417497017,212.1880283268739,5367600
2019-01-07,212.43582153320312,214.11703929907006,210.7988356808024,212.71896788768998,4133000
2019-01-08,215.2761993408203,216.603480807064,212.10843278964074,214.42674676343532,3618600
2019-01-09,215.5858612060547,218.23157993397058,214.1877900506271,216.5768935180327,3425400
2019-01-10,216.67425537109375,216.91316979854125,213.61266723425152,214.20551796015098,3374100
2019-01-11,219.15184020996094,219.23147384829704,215.25848709308733,215.4177543697595,3967100
2019-01-14,219.49691772460938,221.14274697945174,217.77145483690435,218.19618104730802,4955500
2019-01-15,227.29249572753906,227.33675464003323,218.55898902902132,221.21355164880703,5325600
2019-01-16,231.3540496826172,232.0000031880078,228.4428978243277,228.93841418333938,6069400
2019-01-17,229.85858154296875,231.60174551640566,228.19507821615767,230.9381048209897,3583600
2019-01-18,234.9287872314453,235.60128505638818,230.43373983191842,232.36271548349927,4844800
2019-01-22,235.09693908691406,236.6985231957253,233.37146241544514,233.6546222698541,4052700
2019-01-23,236.27371215820312,238.44161532203162,233.30947277577894,236.91966531808882,2971100
2019-01-24,235.48623657226562,237.2824893961192,233.83156365122878,236.0790737239799,2927300
2019-01-25,237.1851348876953,239.27340464240822,235.10574931889659,237.8487754744025,2809100
2019-01-28,236.05252075195312,236.1941006497149,234.14123263757594,236.16755610660985,2837300
2019-01-29,236.55694580078125,237.53914811764832,234.8757280280975,235.37124427681252,2173000
2019-01-30,239.23805236816406,241.06970724695074,236.42422217976173,238.6363579260422,3659000
2019-01-31,239.08761596679688,240.45027199405402,238.0169229407427,239.33537406298973,4055100
2019-02-01,237.77804565429688,238.37090990960016,235.397785456257,237.55683208201518,3946800
2019-02-04,237.32675170898438,237.75149147185397,233.8404237908053,237.41524253503331,3398900
2019-02-05,235.64549255371094,240.7599481573072,235.22961004772628,239.01678450502314,3597000
2019-02-06,238.46823120117188,238.84871206507916,234.46869953089706,234.61027945775766,2570000
2019-02-07,238.0258026123047,239.4238605007069,236.48616479790067,237.7072680315079,2458200
2019-02-08,231.74331665039062,237.76034159615057,230.34525885331928,236.69850572230823,4547000
2019-02-11,227.5314483642578,231.10624030466454,226.8235487199122,231.0974101240923,4856200
2019-02-12,233.15908813476562,233.6015152469758,227.33675921966713,229.37191313439078,4327900
2019-02-13,233.42454528808594,235.6278507796643,232.84939541413684,233.17678717298742,3066400
2019-02-14,234.77835083007812,236.31801548627183,232.4600371681257,232.92900880963816,3015300
2019-02-15,239.91055297851562,239.91055297851562,235.91985140611953,236.9551428286287,3673700
2019-02-19,239.27340698242188,241.11389167930304,238.2735175014278,239.94590475801542,2486700
2019-02-20,238.4770965576172,239.43272734216242,237.30022518933748,238.21162405930232,2802800
2019-02-21,235.72515869140625,238.8575501896767,234.5748590074148,238.4416676263368,2554300
2019-02-22,236.35333251953125,237.48597153203707,235.32692567074844,235.81358455600926,3191100
2019-02-25,234.13241577148438,237.291351598622,233.9377467764438,236.76926388186317,3679100
2019-02-26,232.698974609375,234.86685126589063,232.539680325587,234.18552323160424,3212900
2019-02-27,221.28439331054688,231.48675011451002,220.27565981940126,231.48675011451002,8952900
2019-02-28,214.3293914794922,222.93901930903436,211.61288252762472,220.9480973026,11034300
2019-03-01,217.8068084716797,219.44379378572083,215.51503983346257,215.51503983346257,6921300
2019-03-04,208.84327697753906,219.84200740811835,207.50713859090823,219.5500039229964,8646300
2019-03-05,213.6303253173828,215.19652090206634,207.88763067654727,209.2945454974957,6924500
2019-03-06,211.54209899902344,213.9046580807917,209.7369888791937,213.9046580807917,4878700
2019-03-07,209.44497680664062,213.4091196598129,208.42739992416344,212.63045718085232,5033500
2019-03-08,210.7684326171875,212.65149248789157,208.41462472047766,208.86761787607006,4921700
2019-03-11,215.9735107421875,216.74628145984494,209.99571579650748,212.47388958048055,4539600
2019-03-12,218.39834594726562,219.81950808765845,216.49753125007166,217.57228367870178,4235800
2019-03-13,224.056396484375,224.50938967140567,219.46424124328598,220.24588930247975,4881600
2019-03-14,224.96238708496094,226.55231544489928,224.13632477422706,224.72256079431736,3865200
2019-03-15,223.30140686035156,226.26811054601498,222.00459638366843,225.912809793039,6466200
2019-03-18,226.49905395507812,226.77440357762663,222.43095167332748,224.42059530099746,3927400
2019-03-19,228.3909912109375,230.27403782931046,226.62340548205268,227.3428708955503,4164800
2019-03-20,222.5019989013672,228.8883857888666,222.0312372733878,228.65743691627003,4193500
2019-03-21,223.85214233398438,224.68708224645448,220.86768347310147,221.33844515935135,2699700
2019-03-22,219.47312927246094,223.12376146572896,219.3843142499348,222.56418480846708,3777900
2019-03-25,219.26882934570312,219.76623681878792,213.8683801817279,219.76623681878792,4110900
2019-03-26,216.18666076660156,220.18370245232944,214.70331581185408,219.62411227925972,4416200
2019-03-27,214.69447326660156,218.22074036888966,211.54124826920122,215.7869943766472,4819200
2019-03-28,215.1562957763672,215.70700847995852,212.18960604907392,215.47605963372033,3601500
2019-03-29,219.6240997314453,220.06821544893026,214.83653283909126,216.98605128531796,4294200
2019-04-01,218.09632873535156,222.2354902503354,215.8935186911836,221.80026554497007,4809500
2019-04-02,217.0926971435547,218.8602694229081,215.6626436692002,218.069743809963,4057100
2019-04-03,218.3628387451172,219.87282965386254,217.25254931907833,218.78030865357485,2851400
2019-04-04,219.73960876464844,221.26736815768976,217.29697193375935,218.04308320384794,2255500
2019-04-05,220.97422790527344,221.44498950837868,217.76771170009533,221.12522563142636,3343000
2019-04-08,220.94760131835938,221.77365016642977,218.78031413588843,221.77365016642977,2195400
2019-04-09,220.98312377929688,222.0045982049778,218.4605494024929,219.89949374550932,2903800
2019-04-10,218.53158569335938,221.94239125747558,218.07859252656374,220.97422221589107,2753700
