Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2019-01-02,134.62351989746094,136.43927241230728,127.55896464929714,127.98562432545164,28146200
2019-01-03,130.71421813964844,136.10193043297755,130.09903544528873,133.6412450754704,22717900
2019-01-04,136.87586975097656,136.92548346138585,132.70857545623448,132.96654555439258,29002100
2019-01-07,136.97509765625,137.78870497792076,134.85176104703956,136.48890751648534,20089300
2019-01-08,141.42019653320312,142.02544740628335,138.45347255860054,138.80075335822818,26263800
2019-01-09,143.1069793701172,143.57332102571948,140.17003526247268,141.8369470305985,22205900
2019-01-10,143.0772247314453,143.4344222995508,139.74338580912124,141.9659501373309,16125000
2019-01-11,142.68032836914062,144.22817926755195,141.45990979769772,142.0353804014832,12908000
2019-01-14,144.25796508789062,145.42878525532504,140.17004903952017,140.8943608809104,20520300
2019-01-15,147.79022216796875,149.50674756683452,144.85327820204645,144.87311157453394,24069000
2019-01-16,146.39120483398438,148.48477637801153,145.8554160895323,147.83984351932185,18025700
2019-01-17,147.14527893066406,147.8398254180553,145.3592914345309,145.8057845235697,15787900
2019-01-18,148.87171936035156,151.24310921857838,147.39333081098312,148.58398408281647,31029600
2019-01-22,146.42098999023438,150.35014795206536,145.23032138121383,148.03828810352215,22378700
2019-01-23,143.17642211914062,147.64138321345908,141.9460718338698,147.12542791447743,20098400
2019-01-24,144.6945037841797,145.299754655157,141.41027935673696,143.51376723752094,20955500
2019-01-25,147.8497314453125,148.66335380044498,145.3989628350647,146.3316459680305,22237200
2019-01-28,146.32174682617188,147.8001506014188,145.07156308910322,146.89723255465768,15508500
2019-01-29,143.06729125976562,146.9468503365544,142.31319918224366,146.93691851028444,17632100
2019-01-30,149.24876403808594,149.7746360212973,144.56551475591945,145.08147005377919,44613200
2019-01-31,165.39208984375,170.34322609112806,163.7152464126422,164.31058063740673,77233600
2019-02-01,164.4197235107422,167.78332703355187,164.37010980238654,164.54870098449308,30806500
2019-02-04,167.93214416503906,167.981757870779,162.34597700621873,164.40978301718607,20036000
2019-02-05,169.82728576660156,170.6408930571049,167.37651692938948,167.8329267133362,22557000
2019-02-06,169.16250610351562,171.1270848386497,167.9520042717718,169.8669692977403,13281200
2019-02-07,165.08450317382812,167.92223466788164,163.96329696401648,166.89032404823783,17517600
2019-02-08,166.027099609375,166.06678149085363,162.93139809480107,163.18936817435636,12561400
2019-02-11,164.49905395507812,166.9895192942661,163.79459091505032,166.59262484779438,12811200
2019-02-12,163.75491333007812,167.0292209870877,163.21912468873836,165.56074921084456,16292300
2019-02-13,162.79249572753906,164.92574895228006,162.45513159071416,164.09229314596084,14205100
2019-02-14,162.6734161376953,163.58625082978747,160.98665605143856,161.91933925465693,12755200
2019-02-15,161.2346954345703,163.41756212938148,159.60746588316817,163.22903914001554,15504400
2019-02-19,161.02633666992188,162.87185455074814,159.08160651419917,159.25028100750322,14345400
2019-02-20,161.29425048828125,162.44522196991008,159.9944530133293,160.98666667542744,11770700
2019-02-21,158.79388427734375,160.97676667216783,158.34739111112265,160.66916768745676,15607800
2019-02-22,160.6294708251953,161.1454261740566,159.06177140594767,159.32967333669976,15858500
2019-02-25,163.3381805419922,164.776902220313,161.631572121067,161.8002617382309,18737100
2019-02-26,162.85202026367188,164.9455915299292,162.52458796440192,163.0603766377669,13784100
2019-02-27,161.54229736328125,162.65357177504464,159.1609907266516,161.63159295565973,12697500
2019-02-28,160.19290161132812,162.22694275955087,159.60749915178485,161.10573641433965,11114200
2019-03-01,161.0164337158203,161.85982139424212,160.43103128208145,161.33394935851342,11097800
2019-03-04,166.06678771972656,166.19578033433132,162.55435818798247,162.62380526816932,18894700
2019-03-05,169.92649841308594,170.54168115014525,165.25318076046253,166.06678805273313,28187900
2019-03-06,171.16677856445312,172.21853779560456,169.936443275903,171.55374129875187,21531700
2019-03-07,167.8131103515625,170.40278875159595,166.30494126656737,170.164652009761,18306500
2019-03-08,168.27944946289062,168.299282836092,164.6777088895179,164.90591380117024,13184800
2019-03-11,170.73020935058594,172.94284154218153,170.24401921360752,170.26386772572346,18884000
2019-03-12,170.5813751220703,172.44674169700022,169.8868285696962,170.75004963193408,12155300
2019-03-13,172.0200958251953,172.67496054457362,170.77982861727304,170.97828348252506,11973300
2019-03-14,168.84495544433594,169.81732035432256,166.8506119254911,168.43814430955445,18037400
2019-03-15,164.68760681152344,166.27515460556222,161.2446244559344,165.85842671612204,37135400
2019-03-18,159.22052001953125,162.6238054519901,158.0397833952159,162.2963882822019,37524200
2019-03-19,160.3119659423828,162.5444466443645,159.5678057083889,160.2226552079197,25611500
2019-03-20,164.15182495117188,164.8265229506624,159.98453074379006,160.24250083654022,20211500
2019-03-21,164.78683471679688,165.09441850706298,162.47497523708407,163.60609812321184,16223000
2019-03-22,163.0603790283203,166.1163987263316,162.81232562887112,164.36017641903754,16389200
2019-03-25,164.99517822265625,165.2432316006168,160.7385889184428,161.73080243028502,12631200
2019-03-26,166.37437438964844,168.13059675582596,165.05474358351418,166.04695721457836,15437900
2019-03-27,164.57847595214844,167.62457917428267,163.50688337595687,166.5430699118225,10620300
2019-03-28,164.26097106933594,165.42185921090982,162.0582555781511,163.28860594168904,10443000
2019-03-29,165.39208984375,165.88819665106104,163.52672340346746,165.09442273136773,13455500
2019-04-01,167.3864288330078,167.58486852209703,165.97748735850328,166.52320785848195,10381500
2019-04-02,172.84361267089844,173.53815918933915,168.22982531127647,168.81522772396372,23946500
2019-04-03,172.18875122070312,176.5743489039153,171.60334879718988,173.14128299216478,27391100
2019-04-04,174.6494598388672,176.61403872708658,174.1632696751247,174.6494598388672,17847700
2019-04-05,174.35179138183594,175.62182369794476,173.73662373683996,175.50276289955312,9594100
2019-04-08,173.5679168701172,174.13348588633917,172.873370381757,173.8457506054392,7297400
2019-04-09,176.19729614257812,177.79476067353207,174.1831037087638,174.2525507892514,19751000
2019-04-10,176.4354248046875,177.3978580416452,175.1653775025643,176.79260715656196,11701500
2019-04-11,176.1278076171875,177.01087699992797,175.62178419785624,176.85213435110265,8071000
2019-04-12,177.70545959472656,178.2313315849551,176.5644048850026,176.61401859237805,12329800
2019-04-15,178.2511749267578,179.0945625793835,175.49282221014067,177.11013529318535,10834800
2019-04-16,177.47723388671875,178.76711453729467,176.91168003268325,177.60622649376955,11215200
2019-04-17,177.387939453125,179.33268469678282,176.97121157376492,178.20156184138332,9973700
2019-04-18,176.89183044433594,177.48716463019738,175.9591472851424,177.40778572941738,11655600
2019-04-22,180.02723693847656,180.255441825929,176.8620731508558,176.8620731508558,13389900
2019-04-23,182.34901428222656,182.78559068882757,180.06691997316187,181.31711879933349,19954800
2019-04-24,181.1583709716797,183.69843550643336,180.23560439961344,183.05350268658597,37289900
2019-04-25,191.7552032470703,196.93455967611376,190.62408029934696,195.44623921121573,54148800
2019-04-26,189.99900817871094,191.3980179990115,187.61768619823786,191.0011385722558,22075000
2019-04-29,193.26336669921875,193.8884661213994,189.16551962488455,189.46318673735053,19641300
2019-04-30,191.8941192626953,195.85305728817346,190.7828447881664,192.67797654667706,23494700
2019-05-01,191.5269775390625,194.6524441197775,191.5071290291597,193.2633512261213,15996600
2019-05-02,191.03089904785156,192.48945437207544,188.2725462221717,191.49724068974515,13209500
2019-05-03,193.94796752929688,194.63259724365338,192.20167727845606,192.8664584842871,14575400
2019-05-06,192.37037658691406,192.76725596880635,189.06630349973676,189.75093330248222,13994900
2019-05-07,188.29237365722656,191.39799184008598,186.38732541720447,191.04079434883323,16253000
2019-05-08,188.0641632080078,189.2349831544809,187.08188141204525,187.9153372207342,12505700
2019-05-09,187.1811065673828,188.29239619539774,184.80971645382024,185.74239974484124,12967000
2019-05-10,186.8734893798828,188.52056744483735,183.15268870662942,186.78419379731912,12578500
2019-05-13,180.12644958496094,183.98615986841705,179.43190309564582,182.07119489502122,16833300
